Date,Time,Impact,Event Name,Previous,Forecast,Actual
2011-01-03,10:00am,3,ISM Manufacturing PMI,56.6,57,57
2011-01-03,10:00am,1,Construction Spending m/m,0.70%,0.20%,0.40%
2011-01-03,10:00am,1,ISM Manufacturing Prices,69.5,71.2,72.5
2011-01-04,10:00am,2,Factory Orders m/m,-0.70%,-0.10%,0.70%
2011-01-04,12:00am,1,Total Vehicle Sales,12.3M,12.3M,12.6M
2011-01-04,2:00pm,3,FOMC Meeting Minutes,,,
2011-01-05,7:30am,1,Challenger Job Cuts y/y,-3.30%,,-29.00%
2011-01-05,8:15am,3,ADP Non-Farm Employment Change,92K,101K,297K
2011-01-05,10:00am,3,ISM Services PMI,55,55.6,57.1
2011-01-05,10:30am,2,Crude Oil Inventories,-1.3M,-1.4M,-4.2M
2011-01-06,8:30am,3,Unemployment Claims,391K,400K,409K
2011-01-06,10:30am,1,Natural Gas Storage,-136B,-135B,-135B
2011-01-07,8:30am,3,Non-Farm Employment Change,71K,159K,103K
2011-01-07,8:30am,3,Unemployment Rate,9.80%,9.70%,9.40%
2011-01-07,8:30am,2,Average Hourly Earnings m/m,0.00%,0.20%,0.10%
2011-01-07,9:30am,3,Fed Chairman Bernanke Testifies,,,
2011-01-07,11:35am,1,President Obama Speaks,,,
2011-01-07,1:30pm,1,FOMC Member Duke Speaks,,,
2011-01-07,3:00pm,1,Consumer Credit m/m,7.0B,0.1B,1.3B
2011-01-07,4:30pm,2,FOMC Member Evans Speaks,,,
2011-01-08,4:30pm,2,FOMC Member Yellen Speaks,,,
2011-01-11,7:30am,1,NFIB Small Business Index,93.2,94.6,92.6
2011-01-11,8:30am,2,FOMC Member Plosser Speaks,,,
2011-01-11,10:00am,1,Final Wholesale Inventories m/m,1.70%,1.10%,-0.20%
2011-01-11,10:00am,1,JOLTS Job Openings,3.33M,,3.25M
2011-01-11,2:00pm,2,FOMC Member Kocherlakota Speaks,,,
2011-01-11,7:22pm,1,RCM/TIPP Economic Optimism,45.8,47.1,51.9
2011-01-12,8:30am,2,Import Prices m/m,1.50%,1.30%,1.10%
2011-01-12,8:30am,2,Treasury Sec Geithner Speaks,,,
2011-01-12,10:30am,2,Crude Oil Inventories,-4.2M,0.4M,-2.2M
2011-01-12,1:00pm,2,10-y Bond Auction,3.34|2.9,,3.39|3.3
2011-01-12,1:00pm,2,FOMC Member Fisher Speaks,,,
2011-01-12,2:00pm,2,Beige Book,,,
2011-01-12,2:00pm,2,Federal Budget Balance,-150.4B,-81.1B,-80.0B
2011-01-13,8:30am,3,PPI m/m,0.80%,0.80%,1.10%
2011-01-13,8:30am,3,Trade Balance,-38.4B,-40.8B,-38.3B
2011-01-13,8:30am,3,Unemployment Claims,410K,405K,445K
2011-01-13,8:30am,2,Core PPI m/m,0.30%,0.20%,0.20%
2011-01-13,10:30am,1,Natural Gas Storage,-135B,-146B,-138B
2011-01-13,1:00pm,3,Fed Chairman Bernanke Speaks,,,
2011-01-13,1:00pm,1,30-y Bond Auction,4.41|2.7,,4.52|2.7
2011-01-14,8:30am,3,Core CPI m/m,0.10%,0.10%,0.10%
2011-01-14,8:30am,3,Core Retail Sales m/m,1.00%,0.70%,0.50%
2011-01-14,8:30am,3,CPI y/y,1.10%,1.40%,1.50%
2011-01-14,8:30am,3,Retail Sales m/m,0.80%,0.80%,0.60%
2011-01-14,8:30am,2,CPI m/m,0.10%,0.40%,0.50%
2011-01-14,9:15am,2,Capacity Utilization Rate,75.40%,75.60%,76.00%
2011-01-14,9:15am,2,Industrial Production m/m,0.30%,0.50%,0.80%
2011-01-14,9:55am,3,Prelim UoM Consumer Sentiment,74.5,75.5,72.7
2011-01-14,9:55am,1,Prelim UoM Inflation Expectations,3.00%,,3.30%
2011-01-14,10:00am,2,Business Inventories m/m,0.80%,0.70%,0.20%
2011-01-17,7:15am,2,FOMC Member Plosser Speaks,,,
2011-01-17,12:00am,-1,Bank Holiday,,,
2011-01-18,8:30am,2,Empire State Manufacturing Index,10.6,12.6,11.9
2011-01-18,9:00am,3,TIC Long-Term Purchases,28.9B,43.4B,85.1B
2011-01-18,10:00am,1,NAHB Housing Market Index,16,17,16
2011-01-19,8:30am,3,Building Permits,0.54M,0.56M,0.64M
2011-01-19,8:30am,2,Housing Starts,0.55M,0.55M,0.53M
2011-01-20,8:30am,3,Unemployment Claims,441K,422K,404K
2011-01-20,10:00am,3,Existing Home Sales,4.70M,4.88M,5.28M
2011-01-20,10:00am,3,Philly Fed Manufacturing Index,24.3,20.7,19.3
2011-01-20,10:00am,1,CB Leading Index m/m,1.10%,0.70%,1.00%
2011-01-20,10:30am,1,Natural Gas Storage,-138B,-223B,-243B
2011-01-20,11:00am,2,Crude Oil Inventories,-2.2M,-1.1M,2.6M
2011-01-21,1:05pm,1,President Obama Speaks,,,
2011-01-25,9:00am,2,S&P/CS Composite-20 HPI y/y,-0.80%,-1.40%,-1.60%
2011-01-25,9:59am,1,Richmond Manufacturing Index,25,23,18
2011-01-25,10:00am,3,CB Consumer Confidence,53.3,54.4,60.6
2011-01-25,10:00am,1,HPI m/m,0.20%,-0.10%,0.00%
2011-01-25,9:00pm,2,President Obama Speaks,,,
2011-01-26,10:00am,3,New Home Sales,280K,302K,329K
2011-01-26,10:30am,2,Crude Oil Inventories,2.6M,0.9M,4.8M
2011-01-26,2:15pm,3,Federal Funds Rate,<0.25%,<0.25%,<0.25%
2011-01-26,2:15pm,3,FOMC Statement,,,
2011-01-27,8:30am,3,Core Durable Goods Orders m/m,4.50%,0.90%,0.50%
2011-01-27,8:30am,3,Unemployment Claims,403K,407K,454K
2011-01-27,8:30am,2,Durable Goods Orders m/m,-0.10%,1.60%,-2.50%
2011-01-27,10:00am,3,Pending Home Sales m/m,3.10%,0.90%,2.00%
2011-01-27,10:30am,1,Natural Gas Storage,-243B,-121B,-174B
2011-01-28,6:00am,2,Treasury Sec Geithner Speaks,,,
2011-01-28,8:30am,3,Advance GDP q/q,2.60%,3.50%,3.20%
2011-01-28,8:30am,2,Advance GDP Price Index q/q,2.10%,1.70%,0.30%
2011-01-28,8:30am,2,Employment Cost Index q/q,0.40%,0.50%,0.40%
2011-01-28,9:55am,2,Revised UoM Consumer Sentiment,72.7,73.1,74.2
2011-01-28,9:55am,1,Revised UoM Inflation Expectations,3.30%,,3.40%
2011-01-31,8:30am,2,Core PCE Price Index m/m,0.10%,0.10%,0.00%
2011-01-31,8:30am,2,Personal Spending m/m,0.30%,0.60%,0.70%
2011-01-31,8:30am,1,Personal Income m/m,0.40%,0.50%,0.40%
2011-01-31,9:45am,2,Chicago PMI,68.6,65.5,68.8
2011-01-31,2:00pm,1,Loan Officer Survey,,,
2011-02-01,10:00am,3,ISM Manufacturing PMI,57,57.8,60.8
2011-02-01,10:00am,1,Construction Spending m/m,-0.20%,0.10%,-2.50%
2011-02-01,10:00am,1,ISM Manufacturing Prices,72.5,73.6,81.5
2011-02-01,12:00am,1,Total Vehicle Sales,12.6M,12.8M,12.6M
2011-02-02,7:30am,1,Challenger Job Cuts y/y,-29.00%,,-46.00%
2011-02-02,8:15am,3,ADP Non-Farm Employment Change,247K,148K,187K
2011-02-02,10:30am,2,Crude Oil Inventories,4.8M,2.5M,2.6M
2011-02-02,5:30pm,1,FOMC Member Duke Speaks,,,
2011-02-03,8:30am,3,Unemployment Claims,457K,420K,415K
2011-02-03,8:30am,2,Prelim Nonfarm Productivity q/q,2.30%,2.10%,2.60%
2011-02-03,8:30am,2,Prelim Unit Labor Costs q/q,-0.10%,0.40%,-0.60%
2011-02-03,10:00am,3,ISM Services PMI,57.1,57.2,59.4
2011-02-03,10:00am,2,Factory Orders m/m,1.30%,-0.20%,0.20%
2011-02-03,10:30am,1,Natural Gas Storage,-174B,-185B,-189B
2011-02-03,12:30pm,3,Fed Chairman Bernanke Speaks,,,
2011-02-03,8:00pm,2,FOMC Member Kocherlakota Speaks,,,
2011-02-04,8:30am,3,Non-Farm Employment Change,121K,138K,36K
2011-02-04,8:30am,3,Unemployment Rate,9.40%,9.50%,9.00%
2011-02-04,8:30am,2,Average Hourly Earnings m/m,0.10%,0.20%,0.40%
2011-02-04,1:00pm,2,FOMC Member Fisher Speaks,,,
2011-02-04,4:00pm,2,Treasury Currency Report,,,
2011-02-07,3:00pm,1,Consumer Credit m/m,2.0B,2.2B,6.1B
2011-02-08,7:30am,1,NFIB Small Business Index,92.6,94,94.1
2011-02-08,10:00am,1,JOLTS Job Openings,3.20M,,3.06M
2011-02-08,10:00am,1,RCM/TIPP Economic Optimism,51.9,52.8,50.9
2011-02-08,1:00pm,2,FOMC Member Fisher Speaks,,,
2011-02-09,10:00am,3,Fed Chairman Bernanke Testifies,,,
2011-02-09,10:30am,2,Crude Oil Inventories,2.6M,2.2M,1.9M
2011-02-09,1:00pm,2,10-y Bond Auction,3.39|3.3,,3.67|3.2
2011-02-10,8:30am,3,Unemployment Claims,419K,411K,383K
2011-02-10,10:00am,1,Final Wholesale Inventories m/m,0.00%,0.70%,1.00%
2011-02-10,10:30am,1,Natural Gas Storage,-189B,-191B,-209B
2011-02-10,1:00pm,1,30-y Bond Auction,4.52|2.7,,4.75|2.5
2011-02-10,1:55pm,2,Federal Budget Balance,-80.0B,-69.5B,-49.8B
2011-02-11,8:30am,3,Trade Balance,-38.3B,-40.4B,-40.6B
2011-02-11,9:55am,3,Prelim UoM Consumer Sentiment,74.2,74.8,75.1
2011-02-11,9:55am,1,Prelim UoM Inflation Expectations,3.40%,,3.40%
2011-02-11,9:00pm,2,FOMC Member Raskin Speaks,,,
2011-02-14,10:00am,1,FOMC Member Dudley Speaks,,,
2011-02-15,8:30am,3,Core Retail Sales m/m,0.30%,0.60%,0.30%
2011-02-15,8:30am,3,Retail Sales m/m,0.50%,0.50%,0.30%
2011-02-15,8:30am,2,Empire State Manufacturing Index,11.9,14.7,15.4
2011-02-15,8:30am,2,Import Prices m/m,1.20%,0.90%,1.50%
2011-02-15,9:00am,3,TIC Long-Term Purchases,85.1B,91.3B,65.9B
2011-02-15,10:00am,2,Business Inventories m/m,0.40%,0.70%,0.80%
2011-02-15,10:00am,1,NAHB Housing Market Index,16,16,16
2011-02-15,1:00pm,1,Treasury Sec Geithner Speaks,,,
2011-02-16,8:30am,3,Building Permits,0.63M,0.57M,0.56M
2011-02-16,8:30am,3,PPI m/m,1.10%,0.90%,0.80%
2011-02-16,8:30am,2,Core PPI m/m,0.20%,0.20%,0.50%
2011-02-16,8:30am,2,Housing Starts,0.52M,0.55M,0.60M
2011-02-16,9:15am,2,Capacity Utilization Rate,76.20%,76.40%,76.10%
2011-02-16,9:15am,2,Industrial Production m/m,1.20%,0.50%,-0.10%
2011-02-16,10:00am,1,Treasury Sec Geithner Speaks,,,
2011-02-16,10:30am,2,Crude Oil Inventories,1.9M,1.8M,0.9M
2011-02-16,2:00pm,3,FOMC Meeting Minutes,,,
2011-02-16,2:00pm,1,Treasury Sec Geithner Speaks,,,
2011-02-17,8:30am,3,Core CPI m/m,0.10%,0.10%,0.20%
2011-02-17,8:30am,3,CPI y/y,1.50%,1.60%,1.60%
2011-02-17,8:30am,3,Unemployment Claims,385K,401K,410K
2011-02-17,8:30am,2,CPI m/m,0.50%,0.30%,0.40%
2011-02-17,10:00am,3,Fed Chairman Bernanke Testifies,,,
2011-02-17,10:00am,3,Philly Fed Manufacturing Index,19.3,20.8,35.9
2011-02-17,10:00am,2,FOMC Member Raskin Speaks,,,
2011-02-17,10:00am,2,Mortgage Delinquencies,9.13%,,8.22%
2011-02-17,10:00am,1,CB Leading Index m/m,0.80%,0.30%,0.10%
2011-02-17,10:30am,1,Natural Gas Storage,-209B,-233B,-233B
2011-02-17,12:20pm,2,FOMC Member Evans Speaks,,,
2011-02-17,1:10pm,2,FOMC Member Fisher Speaks,,,
2011-02-18,8:00am,3,Fed Chairman Bernanke Speaks,,,
2011-02-18,9:45am,2,Treasury Sec Geithner Speaks,,,
2011-02-19,10:30am,2,Treasury Sec Geithner Speaks,,,
2011-02-21,12:00am,-1,Bank Holiday,,,
2011-02-22,9:00am,2,S&P/CS Composite-20 HPI y/y,-1.60%,-2.20%,-2.40%
2011-02-22,9:59am,1,Richmond Manufacturing Index,18,18,25
2011-02-22,10:00am,3,CB Consumer Confidence,64.8,65.1,70.4
2011-02-22,1:00pm,2,FOMC Member Kocherlakota Speaks,,,
2011-02-23,10:00am,3,Existing Home Sales,5.22M,5.27M,5.36M
2011-02-23,1:30pm,2,FOMC Member Plosser Speaks,,,
2011-02-24,8:30am,3,Core Durable Goods Orders m/m,3.00%,0.40%,-3.60%
2011-02-24,8:30am,3,Unemployment Claims,413K,403K,391K
2011-02-24,8:30am,2,Durable Goods Orders m/m,-0.40%,2.50%,2.70%
2011-02-24,10:00am,3,New Home Sales,325K,330K,284K
2011-02-24,10:06am,1,HPI m/m,-0.30%,-0.20%,-0.30%
2011-02-24,10:30am,1,Natural Gas Storage,-233B,-73B,-81B
2011-02-24,11:00am,2,Crude Oil Inventories,0.9M,1.1M,0.8M
2011-02-25,8:30am,3,Prelim GDP q/q,3.20%,3.30%,2.80%
2011-02-25,8:30am,1,Prelim GDP Price Index q/q,0.30%,0.30%,0.40%
2011-02-25,9:55am,2,Revised UoM Consumer Sentiment,75.1,75.5,77.5
2011-02-25,9:55am,1,Revised UoM Inflation Expectations,3.40%,,3.40%
2011-02-25,1:30pm,2,FOMC Member Yellen Speaks,,,
2011-02-28,8:30am,2,Core PCE Price Index m/m,0.00%,0.10%,0.10%
2011-02-28,8:30am,2,Personal Spending m/m,0.50%,0.50%,0.20%
2011-02-28,8:30am,1,FOMC Member Dudley Speaks,,,
2011-02-28,8:30am,1,Personal Income m/m,0.40%,0.40%,1.00%
2011-02-28,9:45am,2,Chicago PMI,68.8,67.9,71.2
2011-02-28,10:00am,3,Pending Home Sales m/m,-3.20%,-2.20%,-2.80%
2011-03-01,10:00am,3,Fed Chairman Bernanke Testifies,,,
2011-03-01,10:00am,3,ISM Manufacturing PMI,60.8,60.9,61.4
2011-03-01,10:00am,1,Construction Spending m/m,-1.60%,-0.40%,-0.70%
2011-03-01,10:00am,1,Fed Monetary Policy Report,,,
2011-03-01,10:00am,1,ISM Manufacturing Prices,81.5,82.7,82
2011-03-01,12:00am,1,Total Vehicle Sales,12.6M,12.7M,13.4M
2011-03-02,7:30am,1,Challenger Job Cuts y/y,-46.00%,,20.00%
2011-03-02,8:15am,3,ADP Non-Farm Employment Change,189K,178K,217K
2011-03-02,10:00am,3,Fed Chairman Bernanke Testifies,,,
2011-03-02,10:30am,2,Crude Oil Inventories,0.8M,1.1M,-0.4M
2011-03-02,2:00pm,2,Beige Book,,,
2011-03-02,8:00pm,3,Fed Chairman Bernanke Speaks,,,
2011-03-03,8:30am,3,Unemployment Claims,388K,394K,368K
2011-03-03,8:30am,2,Revised Nonfarm Productivity q/q,2.60%,2.60%,2.60%
